model,target_state,landmark,horizon,n_records,mean_auc_ipcw,sd_auc_ipcw,n_valid_auc_ipcw,mean_c_index_ipcw,sd_c_index_ipcw,n_valid_c_index_ipcw,mean_brier_ipcw,sd_brier_ipcw,n_valid_brier_ipcw
parametric,2,2.495120406150818,2.8206196546554567,5,0.5610376318165314,0.37908864105868634,4,0.6441461802202182,0.11392969776376115,4,0.3722873635716217,0.32865916570360737,3
parametric,2,2.495120406150818,2.8613070607185365,5,0.8538464556889434,0.13839204879526573,3,0.6970205945825492,0.15916244393108428,3,0.20742537375867476,0.07568584005730766,2
parametric,2,2.495120406150818,2.901994466781616,5,0.8545613485506175,0.1388295990118418,3,0.7020747425242412,0.15586836093504644,3,0.193473292199182,0.06920858820174465,2
parametric,2,2.495120406150818,2.942681872844696,5,0.8545613485506175,0.1388295990118418,3,0.6963875432866886,0.16229626409135686,3,0.17285694777436145,0.06683492130802968,2
parametric,2,2.495120406150818,2.9833692789077757,5,0.7897828313819225,0.30493723361137454,3,0.5818467848988479,0.12766992765038626,3,0.35409204930457416,0.12009704111481674,2
parametric,2,2.495120406150818,3.024056684970856,5,0.81334846657401,0.32328993920445503,3,0.5749594655183189,0.12085642538083904,3,0.3287138422609579,0.12053280619192251,2
parametric,2,2.495120406150818,3.0647440910339356,5,1.0,,1,0.6482107037972064,,1,,,0
parametric,2,2.495120406150818,3.1054314970970154,5,1.0,,1,0.6306755259812536,,1,,,0
parametric,2,2.495120406150818,3.146118903160095,5,1.0,,1,0.6229268689405022,,1,,,0
parametric,2,2.495120406150818,3.186806309223175,5,,,0,,,0,,,0
parametric,2,2.495120406150818,3.227493715286255,5,,,0,,,0,,,0
parametric,2,2.495120406150818,3.268181121349335,5,,,0,,,0,,,0
parametric,2,2.495120406150818,3.3088685274124146,5,,,0,,,0,,,0
parametric,2,2.495120406150818,3.3495559334754943,5,,,0,,,0,,,0
parametric,2,2.495120406150818,3.390243339538574,5,,,0,,,0,,,0
parametric,2,2.495120406150818,3.4309307456016542,5,,,0,,,0,,,0
parametric,2,2.495120406150818,3.471618151664734,5,,,0,,,0,,,0
parametric,2,2.495120406150818,3.5123055577278137,5,,,0,,,0,,,0
parametric,2,2.495120406150818,3.552992963790894,5,,,0,,,0,,,0
parametric,2,2.495120406150818,3.593680369853973,5,,,0,,,0,,,0
parametric,2,2.495120406150818,3.6343677759170534,5,,,0,,,0,,,0
parametric,2,2.495120406150818,3.675055181980133,5,,,0,,,0,,,0
parametric,2,2.495120406150818,3.715742588043213,5,,,0,,,0,,,0
parametric,3,1.4514093101024628,1.526887086033821,5,0.4918032786885246,,1,0.4920634920634921,,1,0.015543718237408832,,1
parametric,3,1.4514093101024628,1.6023648619651794,5,0.7413040819820481,0.28238146838337563,3,0.7409421148227118,0.28427498619657304,3,0.014756088294427566,0.0010576771105486394,3
parametric,3,1.4514093101024628,1.6778426378965379,5,0.6176920525068137,0.2897880774200154,3,0.6140148910107989,0.2898996188579868,3,0.025178937387118596,0.01849115415183031,3
parametric,3,1.4514093101024628,1.7533204138278962,5,0.5940388590151483,0.30956794454652126,3,0.5931971488644089,0.3142143310870137,3,0.029910565780065918,0.015888565249706887,3
parametric,3,1.4514093101024628,1.8287981897592545,5,0.7586116364000765,0.18023831732683393,3,0.7476341949741329,0.184131760930038,3,0.035013341745587116,0.024588004735181728,3
parametric,3,1.4514093101024628,1.9042759656906127,5,0.767041443235367,0.13545827940443553,4,0.7625736057954708,0.14008902119977903,4,0.037261359243440664,0.027639011612977524,4
parametric,3,1.4514093101024628,1.979753741621971,5,0.7523895424098758,0.11311043160933906,4,0.744402682424911,0.13090636443259934,4,0.04569575756274433,0.04256783412583051,4
parametric,3,1.4514093101024628,2.0552315175533296,5,0.6983296702768841,0.1405219601340533,4,0.6757355283334148,0.1670427521763194,4,0.04913187776229368,0.03715201150385998,4
parametric,3,1.4514093101024628,2.1307092934846876,5,0.687936203014905,0.15064738683808954,4,0.6674807738494968,0.14602582415332963,4,0.05800293724966131,0.030196177406791192,4
parametric,3,1.4514093101024628,2.206187069416046,5,0.750899119902443,0.09981623813377033,4,0.7199631092728986,0.10630633187091063,4,0.081049428682156,0.022605152074223336,4
parametric,3,1.4514093101024628,2.2816648453474047,5,0.7616917672387565,0.05102867160794696,4,0.7329346768455258,0.06550849033475503,4,0.10954536083547298,0.02196922269558081,4
parametric,3,1.4514093101024628,2.3571426212787627,5,0.7566813273703128,0.08366729439639928,4,0.7227929161366232,0.10306726932856396,4,0.12393794998922161,0.022785934311875894,4
parametric,3,1.4514093101024628,2.4326203972101212,5,0.7191201937645444,0.11290676201666028,4,0.7070040705544142,0.09076028667001465,4,0.12899677968033685,0.02695389497475422,4
parametric,3,1.4514093101024628,2.5080981731414793,5,0.6862283702967179,0.1087745921962419,4,0.6714620904209707,0.09935474057533197,4,0.14913041058397283,0.017529150365827667,4
parametric,3,1.4514093101024628,2.583575949072838,5,0.7059435609642705,0.07832769488613969,4,0.6726068724618224,0.06913494917115526,4,0.17691033431326963,0.01590089994000148,4
parametric,3,1.4514093101024628,2.6590537250041963,5,0.6735292715062068,0.09190396475203164,4,0.6593423754053147,0.07805528398094992,4,0.1897565139606037,0.03039410957218195,4
parametric,3,1.4514093101024628,2.7345315009355544,5,0.6651568210267161,0.08455431516058236,4,0.6453356094928513,0.07877766822840009,4,0.197830586250746,0.03799141061076764,4
parametric,3,1.4514093101024628,2.8100092768669125,5,0.6508549507714748,0.1184814986230959,4,0.62163436798073,0.09191006399450723,4,0.21463823210507374,0.05389640935313028,4
parametric,3,1.4514093101024628,2.885487052798271,5,0.6013457281531963,0.08758032634017902,4,0.6214982294221167,0.09767940058018511,4,0.24933344904922128,0.055108519690814074,4
parametric,3,1.4514093101024628,2.9609648287296295,5,0.6312691737980517,0.17583809653876536,4,0.6166243938324572,0.11391841145049095,4,0.2588757977790633,0.08340015020915746,4
parametric,3,1.4514093101024628,3.036442604660988,5,0.6868131613545325,0.25023689612070876,4,0.6375149903768986,0.09444067936627043,4,0.2748070174853896,0.1427180893370653,4
parametric,3,1.4514093101024628,3.111920380592346,5,0.6531193322535533,0.274634051222424,4,0.6229515048701734,0.09871013029262625,4,0.2699263715617648,0.169653129430884,4
parametric,3,1.4514093101024628,3.187398156523704,5,0.6068747634440964,0.34211043048271295,3,0.6191202549529241,0.11442538982017561,3,0.3533927837834315,0.21298407441987288,3
parametric,3,1.4514093101024628,3.2628759324550627,5,0.3767121759367569,,1,0.4973090278027219,,1,0.9837676230428747,,1
